Compound identifier,Trivial name,Final ABS IC50 (nM),Final iGc IC50 (nM),Final LGc IC50 (nM),Final mGc IC50 (nM),FC iGC-ABS,FC LGc-ABS,FC mGc-ABS,SMILE
3-Deazaneplanocin A,3-Deazaneplanocin A,11.70,1000.00,1000.00,,85.47,85.47,,C1=CN=C(C2=C1N(C=N2)[C@@H]3C=C([C@H]([C@H]3O)O)CO)N
3-Deazaneplanocin A (hydrochloride),3-Deazaneplanocin A (hydrochloride),1000.00,1000.00,1000.00,,1.00,1.00,,C1=CN=C(C2=C1N(C=N2)[C@@H]3C=C([C@H]([C@H]3O)O)CO)N.Cl
NCGC00016011,4-HYDROXYPHENETHYLAMINE,5000.00,,3981.07,,,0.80,,NCCC1=CC=C(O)C=C1
4-iodo-SAHA,4-iodo-SAHA,202.60,277.40,1000.00,,1.37,4.94,,IC1=CC=C(NC(CCCCCCC(NO)=O)=O)C=C1
MMV1576861,49c,0.60,1031.00,,5000.00,1718.33,,8333.33,C[C@@H](NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c2ccc(cc2)C(=O)N3CCN(C)CC3)c4ccccc4
YA6,"7,9-diiodocryptolepine",660.00,,2200.00,,,3.33,,Ic1cc2c([n-]c3cc4ccccc4[n+](C)c32)c(I)c1
NCGC00093821,8-(3-Chlorostyryl)caffeine,5000.00,,3548.13,,,0.71,,CN1C(=O)N(C)C2=C([N](C)C(=N2)\C=C\C3=CC(=CC=C3)Cl)C1=O
Abexinostat (PCI-24781),Abexinostat (PCI-24781),54.40,112.20,1000.00,,2.06,18.38,,O=C(NO)C1=CC=C(OCCNC(C2=C(CN(C)C)C3=C(C=CC=C3)O2)=O)C=C1
NCGC00015014,Acetohexamide,5000.00,,707.95,,,0.14,,CC(=O)C1=CC=C(C=C1)[S+]([O-])(=O)NC(=O)NC2CCCCC2
NCGC00015067,Acetylsalicylic acid,5000.00,,3162.28,,,0.63,,O=C(C)Oc1ccccc1C(=O)O
NCGC00094813,ACRIFLAVINIUM HYDROCHLORID,199.53,,5000.00,,,25.06,,[Cl-].C[n+]1c3cc(N)ccc3cc2ccc(N)cc12.Nc1cc2nc3cc(N)ccc3cc2cc1
NCGC00160650,ACRINOL,2511.89,,5000.00,,,1.99,,O.O=C(O)C(C)O.CCOc1ccc2nc3cc(N)ccc3c(N)c2c1
ACT-451840,ACT-451840,0.60,1.80,,,3.00,,,CC(C)(C)c1ccc(cc1)/C=C/C(=O)N(Cc1ccc(cc1)N1CCN(CC1)C(C)=O)[C@@H](Cc1ccccc1)C(=O)N1CCN(Cc2ccc(C#N)cc2)CC1
MMV1542945,ACT-451840,8.34,9.90,,11.10,1.19,,1.33,CC(C)(C)c1ccc(cc1)/C=C/C(=O)N(Cc1ccc(cc1)N1CCN(CC1)C(C)=O)[C@@H](Cc1ccccc1)C(=O)N1CCN(Cc2ccc(C#N)cc2)CC1
NCGC00161622,Actinomycin,5.01,,316.23,,,63.10,,CC(C)[C@H]6NC(=O)[C@@H](NC(=O)c1ccc(C)c2OC3=C(C)C(=O)C(N)=C(C3=Nc12)C(=O)N[C@@H]5C(=O)N[C@@H](C(=O)N4CCC[C@H]4C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]5C)C(C)C)[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@@H]7CCCN7C6=O
NCGC00181311,ADEMETIONINE,5000.00,,1000.00,,,0.20,,[Cl-].C[S+](CC[C@H](N)C(O)=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N
NCGC00166288,ALAZANINI TRICLOFENAS,199.53,,1258.93,,,6.31,,[I-].CCN3c4ccccc4SC3=CC=Cc2sc1ccccc1[n+]2CC
NCGC00159495,ALBUTOINUM,5000.00,,3162.28,,,0.63,,S=C1NC(CC(C)C)C(=O)N1CC=C
MMV396785,Alexidine,23.00,,146.50,,,6.37,,N=C(NC(=N)NCCCCCCNC(=N)NC(=N)NCC(CCCC)CC)NCC(CCCC)CC
NCGC00094996,ALEXIDINE HYDROCHLORIDE,1995.26,,3548.13,,,1.78,,Cl.Cl.CCCCC(CC)CNC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NCC(CC)CCCC
NCGC00181014,ALFACALCIDOL,5000.00,,501.19,,,0.10,,C=C1C(\C[C@@H](O)C[C@@H]1O)=C\C=C2\CCC[C@]3(C)[C@H](CC[C@@H]23)[C@H](C)CCCC(C)C
NCGC00015100,Altretamine,5000.00,,3162.28,,,0.63,,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C
NCGC00017047,Alverine citrate salt,5000.00,,1122.02,,,0.22,,O=C(O)C(O)(CC(=O)O)CC(=O)O.CCN(CCCc1ccccc1)CCCc2ccccc2
NCGC00015089,AMILORIDE,5000.00,,2818.38,,,0.56,,NC(=N)NC(=O)C1=NC(=C(N)N=C1N)Cl
NCGC00160524,AMINOQUINOLUM,1995.26,,5000.00,,,2.51,,CCN(CC)CCCC(C)Nc2cc(C=Cc1ccccc1Cl)nc3cc(Cl)ccc23
NCGC00015096,AMIODARONE,5000.00,,3162.28,,,0.63,,CCN(CC)CCOc1c(I)cc(cc1I)C(=O)c2c3ccccc3oc2CCCC
NCGC00095000,AMIPRILOSE,5000.00,,562.34,,,0.11,,Cl.CN(C)CCCO[C@@H]1[C@H]2OC(C)(C)O[C@H]2O[C@@H]1C(O)CO
NCGC00017063,Amodiaquin dihydrochloride dihydrate,39.81,,5000.00,,,125.59,,Cl.Cl.O.O.CCN(CC)Cc1cc(ccc1O)Nc2ccnc3cc(Cl)ccc23
MMV000001,Amodiaquine,9.00,54.00,892.30,1782.52,6.00,99.14,198.06,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O
MMV000001,Amodiaquine,15.00,54.30,,5000.00,3.62,,333.33,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O
NCGC00093556,Amperozide hydrochloride,1000.00,,1995.26,,,2.00,,Cl.Fc1ccc(cc1)C(CCCN2CCN(CC2)C(=O)NCC)c3ccc(F)cc3
MMV652007,AN3661,46.26,1086.00,,5000.00,23.48,,108.08,OB1OCc2cccc(CCC(=O)O)c12
anazolene sodium,anazolene sodium,5000.00,,,600.00,,,0.12,C1=CC=C(C=C1)NC2=C3C(=C(C=C2)N=NC4=C5C(=CC(=C4)S(=O)(=O)[O-])C=C(C=C5O)S(=O)(=O)[O-])C=CC=C3S(=O)(=O)[O-].[Na+].[Na+].[Na+]
Apicidin,Apicidin,23.10,103.60,590.20,,4.48,25.55,,O=C1C([C@@H](C)CC)NC([C@H](CC2=CN(OC)C3=C2C=CC=C3)NC([C@H](CCCCCC(CC)=O)NC([C@@]4([H])CCCCN41)=O)=O)=O
MMV000002,AQ-13,15.15,221.52,5000.00,3500.00,14.62,330.03,231.02,CCN(CC)CCCNc1ccnc2cc(Cl)ccc12
AR-42,AR-42,22.10,175.30,1000.00,,7.93,45.25,,ClC1=CC(NC(C2=C(C)NC(CCCC3=O)=C3C2C4=CC=CO4)=O)=C(Cl)C=C1
NCGC00164639,Arsenic trioxide,3981.07,,5000.00,,,1.26,,O1[As]2O[As]3O[As]1O[As](O2)O3
MMV000019,Artefenomel (OZ439),3.00,20.20,,5000.00,6.73,,1666.67,C(CN1CCOCC1)Oc2ccc(cc2)[C@@H]3CC[C@@]4(CC3)OO[C@@]5(O4)[C@@H]6CC7C[C@@H](CC5C7)C6
MMV000003,Artemether,1.80,3.73,3.13,5000.00,2.07,1.74,2777.78,CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3
MMV000003,Artemether,5.70,62.50,,5000.00,10.96,,877.19,CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3
Artemiside,Artemiside,1.11,16.40,1.50,200.00,14.77,1.35,180.18,CC1CCC2C(C)C(OC3OC4(C)CCC1C32OO4)N1CCSCC1
MMV000006,Artemisinin,0.57,11.79,5.47,5000.00,20.68,9.60,8771.93,C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4
MMV000039,Artemisone,0.18,0.94,1.70,125.00,5.22,9.44,694.44,C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4)N5CCS(=O)(=O)CC5
Artemisox,Artemisox,1.95,18.94,2.72,,9.71,1.39,,O=S1CCN(CC1)C1OC2OC3(C)CCC4C(C)CCC(C1C)C42OO3
MMV000004,Artenimol (DHA),1.45,20.50,,2103.30,14.14,,1450.55,C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4
MMV000005,Artesunate,0.82,2.96,2.53,5000.00,3.61,3.09,6097.56,C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)CCC(=O)O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4
Arylamine,Arylamine,1.30,38.20,16.42,,29.38,12.63,,Nc1cc2Nc3ccccc3Oc2cc1.Fc1ccc(cc1)NC1OC2OC3(C)CCC4C(C)CCC(C1C)C24OO3
NCGC00095160,ASPARTAME,5000.00,,891.25,,,0.18,,O=C(O)C[C@H](N)C(=O)N[C@@H](Cc1ccccc1)C(=O)OC
AST,AST,86.00,5000.00,3400.00,3350.00,58.14,39.53,38.95,FC(C=C1)=CC=C1CN2C3=CC=CC=C3N=C2NC4CCN(CCC5=CC=C(OC)C=C5)CC4
NCGC00016913,ASTEMIZOLE,1000.00,,3162.28,,,3.16,,Fc1ccc(cc1)Cn4c5ccccc5nc4NC3CCN(CCc2ccc(OC)cc2)CC3
MMV000046,Atovaquone,0.27,5000.00,,1000.00,18518.52,,3703.70,OC1=C([C@@H]2CC[C@H](CC2)c3ccc(Cl)cc3)C(=O)c4ccccc4C1=O
MMV000046,Atovaquone,1.00,5000.00,,5000.00,5000.00,,5000.00,OC1=C([C@@H]2CC[C@H](CC2)c3ccc(Cl)cc3)C(=O)c4ccccc4C1=O
Auranofin,Auranofin,700.00,,550.00,,,0.79,,CCP(CC)CC.CC(=O)OCC1C(C(C(C(O1)[S-])OC(=O)C)OC(=O)C)OC(=O)C.[Au+]
MMV674253,AZ412/MMV253,9.00,141.97,,5000.00,15.77,,555.56,CC1CN(CCN1C)c1cnc(nc1Nc1cc(n(n1)C)C)Nc1nc(C)c(c(c1)C1CC1)F
MMV1580483,AZD-0156,775.67,,236.10,,,0.30,,O=[C]1[N](C2=C([N]1C)C=NC3=CC=C(C=C23)C4=CN=C(OCCCN(C)C)C=C4)C5CCOCC5
B-II.4,B-II.4,129.97,382.10,5000.00,,2.94,38.47,,CCN(CC1=CC=C(Cl)C=C1O)CCNC2=NC3=CC=CC=C3N2
NCGC00160423,Bametano,5000.00,,1412.54,,,0.28,,OC(CNCCCC)c1ccc(O)cc1
Barasertib (AZD1152-HQPA),Barasertib (AZD1152-HQPA),677.80,518.10,1000.00,,0.76,1.48,,CCN(CCOP(O)(O)=O)CCCOC1=CC2=C(C(NC3=CC(CC(NC4=CC(F)=CC=C4)=O)=NN3)=NC=N2)C=C1
NCGC00025271,Bay 11-7085,5000.00,,1258.93,,,0.25,,CC(C)(C)C1=CC=C(C=C1)[S+]([O-])(=O)/C=C/C#N
Belinostat (PXD101),Belinostat (PXD101),186.60,326.10,1000.00,,1.75,5.36,,C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)/C=C/C(=O)NO
NCGC00016288,Bemegride,5000.00,,3162.28,,,0.63,,CCC1(C)CC(=O)NC(=O)C1
NCGC00016312,Bendroflumethiazide,5000.00,,3162.28,,,0.63,,FC(F)(F)c1cc2NC(NS(=O)(=O)c2cc1S(N)(=O)=O)Cc3ccccc3
NCGC00016602,Benperidol,3981.07,,3548.13,,,0.89,,Fc1ccc(cc1)C(=O)CCCN2CCC(CC2)N3c4ccccc4NC3=O
NCGC00016373,Benzethonium chloride,3981.07,,5000.00,,,1.26,,[Cl-].CC(C)(C)CC(C)(C)c2ccc(OCCOCC[N+](C)(C)Cc1ccccc1)cc2
"benzododecinium
chloride","benzododecinium
chloride",100.00,,,5000.00,,,50.00,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1
NCGC00159380,Benzoyl peroxide,5000.00,,446.68,,,0.09,,O=C(OOC(=O)c1ccccc1)c2ccccc2
NCGC00016526,Berberine chloride,251.19,,5000.00,,,19.91,,[Cl-].COc2ccc1cc3c4cc5OCOc5cc4CC[n+]3cc1c2OC
NCGC00093685,Bestatin hydrochloride,630.96,,5000.00,,,7.92,,Cl.N[C@H](Cc1ccccc1)[C@H](O)C(=O)N[C@H](CC(C)C)C(=O)O
NCGC00094112,BIO,1995.26,,5000.00,,,2.51,,O\N=C1\C(NC2=CC=CC=C12)=C3\C(=O)NC4=CC(=CC=C34)Br
MMV1557856,Birinapant,236.00,,135.20,,,0.57,,FC6=CC1=C(C(=C([NH]1)C2=C(C3=C([NH]2)C=C(F)C=C3)C[C@H]4N(C(=O)[C@@H](NC(=O)[C@@H](NC)C)CC)C[C@H](C4)O)C[C@H]5N(C(=O)[C@@H](NC(=O)[C@@H](NC)C)CC)C[C@H](C5)O)C=C6
BIX01294,BIX01294,28.00,14.00,5000.00,,0.50,178.57,,COc1cc2nc(nc(c2cc1OC)NC1CCN(CC1)Cc1ccccc1)N1CCCN(CC1)C
BIX01294 (hydrochloride hydrate),BIX01294 (hydrochloride hydrate),10.50,12.30,939.00,,1.17,89.43,,COC(C(OC)=C1)=CC2=C1C(NC3CCN(CC4=CC=CC=C4)CC3)=NC(N5CCCN(C)CC5)=N2.Cl.Cl.Cl.O
MMV084032,Borrelidine,4228.33,5000.00,,5000.00,1.18,,1.18,CC1CC(C)CC(C)C(O)\C(=C/C=C\CC(OC(=O)CC(O)C(C)C1)C2CCCC2C(=O)O)\C#N
Bortezomib,Bortezomib,150.00,,74.00,,,0.49,,B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O
BRD0026,BRD-K70170026-001-01-9,1.00,,1980.00,,,1980.00,,OCC1C(c2ccccc2c2ccc(OC)cc2)C(C#N)N1C(=O)C1CCCC1
MMV1793038,BRD7539,5.54,5000.00,,5000.00,902.53,,902.53,OCC1C(c2ccc(C#Cc3cccc(F)c3)cc2)C(C#N)N1C(=O)NCCC
MMV687815,BRD7929,1.07,12.45,,5000.00,11.64,,4672.90,COc1ccc(cc1)NC(=O)N1CC2C(c3ccc(C#Cc4ccccc4)cc3)C(CN(C)C)N2CCCC1
NCGC00093648,Brefeldin A from Penicillium brefeldianum,1995.26,,2818.38,,,1.41,,C[C@H]1CCC/C=C/C2C[C@H](O)C[C@@]2(O)C/C=C/C(=O)O1
NCGC00160566,Broquinaldol,5000.00,,3162.28,,,0.63,,Oc1c(Br)cc(Br)c2ccc(C)nc12
NCGC00181150,BRYOSTATIN-1,3981.07,,5000.00,,,1.26,,O=C(OC)\C=C3\C[C@H]4C[C@]1(O)O[C@@H](C[C@H](OC(C)=O)C1(C)C)C[C@@H](O)CC(=O)O[C@H](C[C@@H]2C\C(=C/C(=O)OC)[C@H](OC(=O)\C=C\C=C\CCC)[C@@](O)(O2)C(C)(C)C=C[C@@H](C3)O4)[C@@H](C)O
Buparvaquone,Buparvaquone,140.00,,5000.00,,,35.71,,CC(C)(C)C1CCC(CC1)CC2=C(C3=CC=CC=C3C(=O)C2=O)O
NCGC00166015,C.I. Basic Basic Violet,1584.89,,5000.00,,,3.15,,Cl.N=C1C=C/C(C=C1)=C(\c2ccc(N)c(C)c2)c3ccc(N)cc3
NCGC00093727,Caffeic acid phenethyl ester,5000.00,,3981.07,,,0.80,,OC1=C(O)C=C(\C=C\C(=O)OCCC2=CC=CC=C2)C=C1
NCGC00025064,Calcimycin,1000.00,,630.96,,,0.63,,CNC1=C(C(O)=O)C2=C(OC(=N2)C[C@H]3O[C@@]4(CC[C@H]3C)O[C@@H]([C@H](C)C[C@H]4C)[C@H](C)C(=O)C5=CC=C[NH]5)C=C1
NCGC00166100,CAMPHENE,5000.00,,3162.28,,,0.63,,CC2(C)C(=C)[C@@H]1CC[C@H]2C1
NCGC00181140,CARBOQUONE,794.33,,5000.00,,,6.29,,NC(=O)OCC(OC)C=1C(=O)C(=C(C)C(=O)C=1N2CC2)N3CC3
Carmaphycin B,Carmaphycin B,4.10,,,160.00,,,39.02,CC1(CO1)C(=O)C(NC(=O)C(CCS(C)(=O)=O)NC(=O)C(NC(=O)CCCCC)C(C)C)CC(C)C
MMV642944,CC_642944,13.78,306.60,,319.10,22.25,,23.16,CS(=O)(=O)c1ccc(cc1)c2cnc(N)c(n2)c3ccc(nc3)C(F)(F)F
NCGC00016858,Cefadroxil,5000.00,,2511.89,,,0.50,,CC=3CS[C@H]2N(C(=O)[C@H]2NC(=O)[C@H](N)c1ccc(O)cc1)C=3C(=O)O
NCGC00159465,Cefazolin,5000.00,,562.34,,,0.11,,O=C(O)C=3N4C(=O)[C@@H](NC(=O)Cn1cnnn1)[C@H]4SCC=3CSc2nnc(C)s2
NCGC00017114,Cefsulodin sodium salt,5000.00,,2818.38,,,0.56,,[Na+].[O-]S(=O)(=O)[C@@H](c1ccccc1)C(=O)N[C@@H]4C(=O)N3[C@H]4SCC(C[n+]2ccc(cc2)C(N)=O)=C3C([O-])=O
Celastrol,Celastrol,820.00,1160.00,282.40,,1.41,0.34,,O=C(OC)C1(C)CCC2(C)CCC3(C)C4=CC=C5C(=CC(=O)C(O)=C5C)C4(C)CCC3(C)C2C1
NCGC00017093,Cephapirin sodium salt,5000.00,,501.19,,,0.10,,[Na+].[O-]C(=O)C=2N3C(=O)[C@@H](NC(=O)CSc1ccncc1)[C@H]3SCC=2COC(C)=O
NCGC00159480,Cetamina,5000.00,,1000.00,,,0.20,,CNC1(CCCCC1=O)c2ccccc2Cl
NCGC00091023,Cetylpyridinium bromide,5000.00,,3981.07,,,0.80,,[Br-].CCCCCCCCCCCCCCCC[n+]1ccccc1
Chaetocin,Chaetocin,775.30,292.30,504.50,,0.38,0.65,,O=C1[C@](CO)(SS2)N(C)C([C@]32N1[C@@H](NC4=CC=CC=C45)[C@]5([C@@]6(C7=CC=CC=C7N8)[C@H]8N(C([C@](CO)(SS9)N(C)C%10=O)=O)[C@]%109C6)C3)=O
NCGC00016246,Chlorhexidine A,1995.26,,4466.84,,,2.24,,Clc2ccc(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)cc2
MMV000008,Chloroquine,4.69,5.92,253.00,5000.00,1.26,53.94,1066.10,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
MMV000008,Chloroquine,9.00,5.92,,5000.00,0.66,,555.56,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
MMV000050,Chlorproguanil,5000.00,5000.00,2002.60,4160.00,1.00,0.40,0.83,CC(C)NC(=N)NC(=N)Nc1ccc(Cl)c(Cl)c1
NCGC00015273,CHLORPROMAZINE,5000.00,,3162.28,,,0.63,,CN(C)CCCN1C2=C(SC3=C1C=C(Cl)C=C3)C=CC=C2
NCGC00091112,Chlorure de methylrosanilinum,630.96,,3162.28,,,5.01,,[Cl-].C/[N+](C)=C1\C=C\C(C=C1)=C(/c2ccc(cc2)N(C)C)c3ccc(cc3)N(C)C
NCGC00163697,CHROMOMYCIN A3,125.89,,630.96,,,5.01,,[H][C@]1(CC2=CC3=CC(O[C@H]4C[C@@H](O[C@@H]5C[C@@H](O)[C@@H](OC)[C@@H](C)O5)[C@@H](OC(O)=O)[C@@H](C)O4)=C(C)C(O)=C3C(O)=C2C(=O)[C@H]1O[C@H]1C[C@@H](O[C@H]2C[C@@H](O[C@H]3C[C@](C)(O)[C@@H](OC(C)=O)[C@H](C)O3)[C@H](O)[C@@H](C)O2)[C@H](O)[C@@H](C)O1)[C@H](OC)C(=O)[C@@H](O)[C@@H](C)O
MMV002731,Ciclopirox,4800.00,,259.80,,,0.05,,O=[C]1[N](O)C(=CC(=C1)C)C2CCCCC2
NCGC00013067,cinchonine,158.49,,1122.02,,,7.08,,O[C@@H](c2ccnc1ccccc12)[C@H]4CC3CCN4C[C@@H]3C=C
NCGC00166097,Cinnamyl alcohol,5000.00,,501.19,,,0.10,,OCC=Cc1ccccc1
MMV000073,Cipargamin/KAE609/NITD609,0.50,1.03,,27.70,2.06,,55.40,CC1Cc2c3cc(F)c(cc3[nH]c2C2(N1)C(=O)Nc1c2cc(Cl)cc1)Cl
Citarinostat (ACY-241),Citarinostat (ACY-241),5000.00,1000.00,1000.00,,0.20,0.20,,ClC1=C(N(C2=CC=CC=C2)C3=NC=C(C(NCCCCCCC(NO)=O)=O)C=N3)C=CC=C1
MMV674143,Cladosporin,65.89,199.40,,1000.67,3.03,,15.19,C[C@H]1CCC[C@H](CC2Cc3cc(O)cc(O)c3C(=O)O2)O1
MMV002015,Clemizole,5000.00,,238.80,,,0.05,,ClC4=CC=C(C[N]2C1=C(C=CC=C1)N=C2CN3CCCC3)C=C4
MMV000051,Clindamycin,7.56,5000.00,5000.00,5000.00,661.38,661.38,661.38,CCC[C@@H]1C[C@H](N(C)C1)C(=O)N[C@H]([C@H](C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O
NCGC00015257,Clofibrate,5000.00,,2818.38,,,0.56,,CCOC(=O)C(C)(C)OC1=CC=C(Cl)C=C1
NCGC00017142,Clofilium tosylate,794.33,,2818.38,,,3.55,,Clc1ccc(CCCC[N+](CC)(CC)CCCCCCC)cc1.[O-]S(=O)(=O)c1ccc(C)cc1
NCGC00095016,CLOFOCTOL,3981.07,,5000.00,,,1.26,,Clc2cc(Cl)ccc2Cc1cc(ccc1O)C(C)(C)CC(C)(C)C
NCGC00015264,CLOMIPRAMINE,5000.00,,3548.13,,,0.71,,CN(C)CCCN1C2=C(CCC3=C1C=C(Cl)C=C3)C=CC=C2
NCGC00095166,CLOPIDOL,5000.00,,3162.28,,,0.63,,Oc1c(Cl)c(C)nc(C)c1Cl
NCGC00025125,Colchicine,5000.00,,1258.93,,,0.25,,CC(=O)N[C@H]2CCc3cc(OC)c(OC)c(OC)c3C1=CC=C(OC)C(=O)C=C12
NCGC00022472,Corticosterone,5000.00,,3981.07,,,0.80,,OCC(=O)[C@H]4CC[C@@H]2[C@]4(C)C[C@H](O)[C@@H]1[C@@]3(C)CCC(=O)C=C3CC[C@H]12
coumarin-SAHA,coumarin-SAHA,68.50,249.70,1000.00,,3.65,14.60,,O=C(CCCCCCC(NO)=O)NC1=CC2=C(C(C)=CC(O2)=O)C=C1
NCGC00024896,CP55940,5000.00,,3162.28,,,0.63,,CCCCCCC(C)(C)C1=CC=C([C@@H]2C[C@H](O)CC[C@H]2CCCO)C(=C1)O
NCGC00166232,CRESYL ACETATE,5000.00,,3162.28,,,0.63,,O=C(C)Oc1ccc(C)cc1
MMV1578884,CRS-3123,1643.33,3776.00,,5000.00,2.30,,3.04,Oc1cc(NCCCN[C@@H]2CCOc3c(Br)cc(Br)cc23)nc4ccsc14
CUDC-101,CUDC-101,35.60,133.10,152.00,,3.74,4.27,,COC1=CC2=C(C(NC3=CC=CC(C#C)=C3)=NC=N2)C=C1OCCCCCCC(NO)=O
CX-6258 HCl,CX-6258 HCl,494.30,472.20,1000.00,,0.96,2.02,,CN1CCCN(CC1)C(=O)C2=CC=CC(=C2)C3=CC=C(O3)/C=C/4\C5=C(C=CC(=C5)Cl)NC4=O.Cl
MMV000031,Cycloheximide,198.00,912.61,476.67,2692.47,4.61,2.41,13.60,C[C@H]1C[C@H](C)C(=O)[C@@H](C1)[C@H](O)CC2CC(=O)NC(=O)C2
Cycloheximidine,Cycloheximidine,45.49,119.50,,,2.63,,,CC1CC(C(=O)C(C1)C(CC2CC(=O)NC(=O)C2)O)C
